id_municipio,ano_pib,pib,populacao
2807204,2022,181480000,7834
2902252,2022,115194000,10191
2902302,2022,91213000,8677
2908002,2022,221185000,17333
2919306,2022,184446000,10774
2919959,2022,68888000,6973
2922102,2022,190074000,17305
2931301,2022,163288000,15818
2931806,2022,150401000,16296
3102803,2022,314294000,11927
3102852,2022,202644000,7718
3111804,2022,853758000,10608
3114303,2022,1178412000,29011
3114550,2022,450483000,9422
3117405,2022,92884000,4409
3120102,2022,68415000,4245
3123700,2022,167574000,13622
3126406,2022,59803000,3093
3128253,2022,67716000,5051
3133758,2022,831718000,14406
3137106,2022,249903000,6631
3140555,2022,107836000,9112
3145406,2022,37442000,1945
3153806,2022,46585000,1770
3155801,2022,468545000,17443
3157252,2022,149129000,8458
3166501,2022,48542000,3792
3167301,2022,39513000,2323
3170479,2022,93348000,3282
3172103,2022,123807000,4443
3504404,2022,219883000,11263
3508603,2022,727281000,31564
3510302,2022,442199000,22866
3510807,2022,1260886000,28083
3525854,2022,237905000,3056
3534005,2022,247119000,4771
3538709,2022,42063297000,423323
3544509,2022,145707000,3833
3545100,2022,92861000,4808
3547304,2022,12774324000,154105
3548906,2022,15599640000,254857
3549953,2022,301589000,16067
3553658,2022,55234000,2619
4101606,2022,1676470000,25777
4103453,2022,2410673000,18997
4103503,2022,240186000,8710
4112009,2022,1910122000,35141
4117222,2022,371317000,8322
4117297,2022,102121000,3125
4121901,2022,459244000,13060
4128807,2022,110373000,5798
4201208,2022,818937000,11224
4204202,2022,15615664000,254785
4204301,2022,5116747000,81646
4211256,2022,174039000,3010
4302378,2022,64873000,2096
4305132,2022,87040000,3802
4311627,2022,324204000,6248
4313904,2022,3651828000,43515
4314456,2022,133617000,2959
4314605,2022,806429000,17504
4316600,2022,827816000,16399
4316758,2022,360575000,6887
4317004,2022,307802000,7024
4318457,2022,71926000,2362
5105234,2022,272835000,4790
5203962,2022,87658000,3145
5205000,2022,656878000,9710
5214507,2022,1268863000,31932
5217401,2022,1665448000,32373
1101757,2022,234965000,7788
1302553,2022,264185000,17107
1304062,2022,824249000,66764
1400027,2022,300390000,13927
1505809,2022,870235000,62503
1506195,2022,516465000,35769
1506583,2022,696577000,16548
1507961,2022,101760000,10400
1600204,2022,231684000,10612
1704600,2022,44846000,1501
1716604,2022,942484000,9317
1720655,2022,286765000,5108
2101202,2022,1748315000,103711
2101509,2022,293768000,18984
2102077,2022,128771000,12212
2109239,2022,70167000,4696
2200277,2022,54724000,4634
2201101,2022,104501000,10866
2201408,2022,102784000,6640
2203354,2022,74933000,7054
2205102,2022,151817000,10323
2205508,2022,458097000,42559
2206100,2022,106731000,10641
2206654,2022,43849000,4377
2207751,2022,51808000,4135
2209377,2022,54217000,4650
2210383,2022,31222000,2269
2302206,2022,1208892000,53114
2306306,2022,702418000,46426
2309300,2022,381139000,30699
2310951,2022,91198000,10606
2311355,2022,214522000,15910
2311405,2022,1725840000,82177
2401651,2022,229572000,2306
2402808,2022,58596000,5117
2403756,2022,43862000,2938
2403806,2022,137719000,10196
2405504,2022,62530000,2437
2405801,2022,1419596000,33290
2509107,2022,257312000,21512
2511806,2022,106136000,9340
2516300,2022,226700000,17166
2613404,2022,358491000,18825
2701506,2022,105163000,8143
2800506,2022,282929000,18081
2801702,2022,283846000,17100
2805505,2022,392810000,21794
2900603,2022,63587000,4447
2905503,2022,119190000,13080
2908507,2022,2886974000,35308
2909406,2022,185363000,13063
2913002,2022,124077000,14637
2916807,2022,356226000,17052
2918803,2022,314683000,21052
2926202,2022,2108395000,21642
3102506,2022,68129000,4541
3108255,2022,107762000,10204
3125705,2022,284405000,13978
3126505,2022,78957000,7366
3127206,2022,96697000,4686
3127305,2022,110318000,6222
3127909,2022,49746000,1392
3136553,2022,83717000,4268
3137205,2022,2587185000,51412
3143203,2022,627072000,20890
3147907,2022,3534527000,111939
3148400,2022,73651000,4389
3148806,2022,63370000,3311
3159803,2022,1128793000,20973
3164704,2022,2537935000,71796
3168408,2022,195706000,14709
3171154,2022,77631000,4899
3202009,2022,186332000,6596
3202207,2022,471908000,18014
3202256,2022,354082000,11009
3203908,2022,1477705000,49065
3304128,2022,359212000,13682
3502408,2022,100740000,4023
3507100,2022,1845067000,22006
3514007,2022,160516000,8759
3518602,2022,1312652000,37498
3520301,2022,2376543000,29115
3521309,2022,506912000,14454
3524006,2022,9479462000,70616
3540804,2022,738362000,18496
3546256,2022,61840000,2116
3546504,2022,122316000,6118
4101051,2022,110972000,2918
4105102,2022,339018000,10832
4107207,2022,2211268000,44869
4108106,2022,82612000,2652
4110102,2022,1356418000,29924
4112959,2022,406996000,7771
4118600,2022,503282000,5666
4121000,2022,250310000,10685
4125357,2022,171595000,6504
4125555,2022,66192000,2138
4126702,2022,146799000,4880
4205100,2022,176689000,4221
4208906,2022,13778060000,182660
4210555,2022,100177000,2184
4211207,2022,919663000,18537
4217907,2022,622902000,8143
4305454,2022,364733000,17071
4306353,2022,48711000,2507
4307005,2022,7683907000,105705
4307708,2022,4301275000,76137
4307864,2022,176739000,2566
4309951,2022,169674000,3723
4310439,2022,244511000,5399
4320651,2022,69071000,2028
5107040,2022,7988769000,85146
5108006,2022,2367328000,14370
5206305,2022,134766000,3504
5207105,2022,128987000,2062
5215652,2022,194266000,3132
1100114,2022,2113515000,50591
1101492,2022,573985000,16286
1200138,2022,344752000,12917
1501709,2022,1737012000,123082
1600600,2022,3091307000,107618
1703800,2022,147595000,10307
1703826,2022,44838000,1961
1706001,2022,234432000,5331
1707009,2022,777790000,17739
1721000,2022,11951579000,302692
2100808,2022,178126000,13793
2103505,2022,687287000,40316
2107209,2022,103301000,14176
2109403,2022,106240000,13614
2110906,2022,108323000,12064
2111805,2022,249392000,17074
2112209,2022,2619876000,174465
2112233,2022,493378000,22484
2201945,2022,57203000,6545
2204006,2022,49003000,4505
2206308,2022,33056000,1318
2209757,2022,60001000,2947
2301802,2022,69658000,5704
2306504,2022,182347000,17841
2307106,2022,310208000,27411
2307304,2022,5783730000,286120
2406908,2022,53827000,3490
2411502,2022,328015000,22177
2412104,2022,94944000,5956
2501203,2022,71785000,7128
2504306,2022,568709000,30661
2510808,2022,2210177000,103165
2601904,2022,1200901000,61694
2609154,2022,162688000,23763
2612802,2022,114031000,10244
2613008,2022,1589736000,49449
2616407,2022,5429995000,134084
2903102,2022,88765000,5775
2904506,2022,106716000,11765
2907558,2022,87385000,8841
2911501,2022,79733000,5555
2913507,2022,247343000,21491
2914000,2022,765628000,56876
2915205,2022,876119000,15310
2915353,2022,150049000,12311
2926509,2022,172531000,13841
2931103,2022,72090000,7717
3109303,2022,1440540000,24030
3110004,2022,981111000,38776
3113404,2022,2647812000,87360
3114006,2022,286357000,11019
3115300,2022,1821409000,66261
3119500,2022,113329000,8200
3122405,2022,147396000,5851
3124401,2022,121181000,6611
3138351,2022,72571000,4341
3146602,2022,29894000,1474
3149507,2022,65340000,3351
3158607,2022,50988000,3747
3169059,2022,73325000,3826
3170701,2022,9925786000,136467
3302270,2022,1669777000,96289
3303104,2022,377914000,15074
3304409,2022,558687000,17401
3510153,2022,215548000,6283
3511102,2022,6036118000,115791
3520707,2022,121298000,4035
3521200,2022,65473000,4046
3526407,2022,1522678000,26261
3546405,2022,3445164000,46442
3550704,2022,18873506000,81595
3553906,2022,170113000,6536
4108809,2022,1165667000,32097
4111001,2022,261670000,5908
4115739,2022,131491000,3267
4117057,2022,317367000,12074
4118303,2022,79481000,2398
4118402,2022,3471737000,92001
4120309,2022,91362000,3562
4121109,2022,225786000,5001
4126801,2022,541077000,15869
4202008,2022,7981315000,139155
4212601,2022,145412000,2992
4219358,2022,163976000,5370
4302105,2022,7759739000,123151
4306056,2022,332136000,7299
4309308,2022,8316851000,92924
4312153,2022,226173000,4859
4313011,2022,197087000,3061
4314498,2022,114032000,4540
4314902,2022,90214952000,1332845
4315206,2022,124597000,3747
4317756,2022,167164000,2089
4322202,2022,1376719000,20005
5001508,2022,1076855000,7940
5003504,2022,221684000,5578
5007109,2022,2220978000,23150
5104542,2022,816015000,7539
5107743,2022,334645000,2661
5107941,2022,1660090000,9818
5210208,2022,1098898000,35684
5213772,2022,119245000,3779
5214408,2022,338764000,8189
5214705,2022,57608000,2337
5214804,2022,61260000,2101
5217708,2022,825564000,18309
5219209,2022,320517000,3002
1100502,2022,268863000,7667
1300102,2022,252603000,17194
1303403,2022,1511650000,96372
1506112,2022,123176000,11524
1507151,2022,425974000,21092
1507706,2022,264514000,25643
1703602,2022,120748000,1974
1717503,2022,383001000,7128
2100477,2022,282348000,25710
2105104,2022,188044000,24794
2106326,2022,250130000,21149
2111300,2022,39578222000,1037775
2202539,2022,59424000,5630
2207702,2022,3273604000,162159
2211100,2022,516521000,46119
2302800,2022,1021411000,74174
2305209,2022,204119000,17855
2404101,2022,124332000,2104
2407302,2022,92508000,7896
2408706,2022,59380000,3579
2411007,2022,64939000,4242
2509602,2022,53561000,4338
2516755,2022,36699000,2966
2600054,2022,1942161000,98462
2603454,2022,2277081000,147771
2608206,2022,167790000,13269
2611705,2022,286998000,20639
2612406,2022,248472000,18624
2706703,2022,992394000,58650
2805901,2022,225682000,8748
2903953,2022,81011000,9730
2910008,2022,144586000,10820
2910057,2022,2208896000,71485
2916906,2022,127758000,10999
2924405,2022,313744000,35357
2933406,2022,98206000,9503
3107703,2022,180460000,5631
3110400,2022,87992000,2838
3112653,2022,63863000,4585
3112901,2022,184181000,8936
3117108,2022,340025000,10371
3117702,2022,366161000,12541
3121803,2022,95507000,6847
3124203,2022,830714000,24102
3125309,2022,74155000,3188
3125952,2022,222413000,10445
3141603,2022,170734000,10373
3142502,2022,42479000,2169
3146909,2022,374009000,13920
3150406,2022,108715000,5019
3151503,2022,1496840000,36062
3154200,2022,214698000,11230
3155603,2022,358041000,28271
3158003,2022,272758000,10485
3162203,2022,265285000,7652
3164506,2022,107846000,10079
3165909,2022,86654000,4008
3168309,2022,76507000,4224
3170057,2022,204269000,13017
3170578,2022,81054000,5780
3202553,2022,212492000,9520
3202603,2022,336306000,12326
3204658,2022,343510000,8589
3204708,2022,884873000,32252
3205036,2022,455504000,19563
3302809,2022,438826000,17502
3507704,2022,118470000,5356
3511003,2022,1792751000,19977
3512001,2022,2117227000,18486
3520202,2022,310647000,10605
3523008,2022,136395000,3979
3526209,2022,623226000,27404
3526902,2022,19078470000,291869
3529203,2022,766182000,24881
3530300,2022,3039965000,63337
3535606,2022,364786000,17667
3537909,2022,1568002000,27619
3543105,2022,211827000,4608
3545159,2022,431950000,8161
3545704,2022,277755000,6393
3551603,2022,896883000,29894
3553203,2022,151516000,6548
3555000,2022,2509746000,63928
3556453,2022,3266317000,50415
4107306,2022,182585000,6327
4108403,2022,3970336000,96666
4108650,2022,348141000,6566
4109658,2022,282890000,4941
4115200,2022,26668372000,409657
4122800,2022,124468000,4075
4123956,2022,90776000,3356
4128609,2022,535582000,7932
4200051,2022,110319000,2598
4200606,2022,211416000,6743
4204004,2022,625628000,10566
4204558,2022,649992000,15727
4209854,2022,162696000,4549
4211900,2022,9105304000,222598
4212106,2022,1021332000,15626
4212650,2022,138525000,10190
4213609,2022,1347344000,32970
4301305,2022,1005950000,17558
4305306,2022,618858000,9540
4307807,2022,2197232000,32183
4311254,2022,115219000,5341
4312427,2022,113863000,2756
4312625,2022,51791000,1721
4315321,2022,189793000,2507
4316733,2022,103168000,1674
5103106,2022,348086000,6220
5107107,2022,471805000,17849
