ano,id_municipio,rede,etapa,ideb
2023,2504504,estadual,EF anos iniciais,NA
2023,2514206,estadual,EF anos iniciais,NA
2023,2602100,estadual,EF anos iniciais,NA
2023,2603207,estadual,EF anos iniciais,NA
2023,2610509,estadual,EF anos iniciais,NA
2023,2610608,estadual,EF anos iniciais,NA
2023,2614600,estadual,EF anos iniciais,NA
2023,2704609,estadual,EF anos iniciais,NA
2023,2801603,estadual,EF anos iniciais,NA
2023,2913002,estadual,EF anos iniciais,NA
2023,2922409,estadual,EF anos iniciais,NA
2023,2930501,estadual,EF anos iniciais,NA
2023,3116209,municipal,EF anos iniciais,NA
2023,3132206,estadual,EF anos iniciais,NA
2023,3134608,estadual,EF anos iniciais,NA
2023,3137403,estadual,EF anos iniciais,NA
2023,3155801,estadual,EF anos iniciais,NA
2023,3203403,estadual,EF anos iniciais,NA
2023,3301207,estadual,EF anos iniciais,NA
2023,3301603,estadual,EF anos iniciais,NA
2023,3305133,estadual,EF anos iniciais,NA
2023,3502200,estadual,EF anos iniciais,NA
2023,3507308,estadual,EF anos iniciais,NA
2023,3545605,estadual,EF anos iniciais,NA
2023,3557105,estadual,EF anos iniciais,NA
2023,4119509,estadual,EF anos iniciais,NA
2023,4206652,estadual,EF anos iniciais,NA
2023,4209151,estadual,EF anos iniciais,NA
2023,4216404,estadual,EF anos iniciais,NA
2023,4305306,municipal,EF anos iniciais,NA
2023,4312377,municipal,EF anos iniciais,NA
2023,4314464,estadual,EF anos iniciais,NA
2023,5103700,estadual,EF anos iniciais,NA
2023,5103809,estadual,EF anos iniciais,NA
2023,5204854,estadual,EF anos iniciais,NA
2023,5214507,estadual,EF anos iniciais,NA
2023,5217708,estadual,EF anos iniciais,NA
2023,5218805,estadual,EF anos iniciais,NA
2023,1100080,municipal,EF anos finais,NA
2023,1400704,municipal,EF anos finais,NA
2023,1600154,estadual,EF anos finais,NA
2023,1600253,estadual,EF anos finais,NA
2023,1716109,municipal,EF anos finais,NA
2023,2100808,estadual,EF anos finais,NA
2023,2109205,estadual,EF anos finais,NA
2023,2206209,estadual,EF anos finais,NA
2023,2309706,estadual,EF anos finais,NA
2023,2403806,municipal,EF anos finais,NA
2023,2501351,estadual,EF anos finais,NA
2023,2504850,estadual,EF anos finais,NA
2023,2510303,estadual,EF anos finais,NA
2023,2515807,estadual,EF anos finais,NA
2023,2607703,estadual,EF anos finais,NA
2023,2703007,municipal,EF anos finais,NA
2023,2708204,estadual,EF anos finais,NA
2023,2801603,estadual,EF anos finais,NA
2023,2805307,municipal,EF anos finais,NA
2023,2916906,estadual,EF anos finais,NA
2023,2917300,estadual,EF anos finais,NA
2023,2917409,estadual,EF anos finais,NA
2023,2918308,estadual,EF anos finais,NA
2023,2919157,estadual,EF anos finais,NA
2023,2922854,estadual,EF anos finais,NA
2023,2925105,estadual,EF anos finais,NA
2023,2930006,estadual,EF anos finais,NA
2023,2930402,estadual,EF anos finais,NA
2023,3125606,municipal,EF anos finais,NA
2023,3126901,municipal,EF anos finais,NA
2023,3135407,estadual,EF anos finais,NA
2023,3169406,municipal,EF anos finais,NA
2023,3300209,estadual,EF anos finais,NA
