ano,id_municipio,rede,etapa,tdi,taxa_aprovacao,taxa_reprovacao,taxa_abandono,hrs_aula
2023,1101435,municipal,EF anos finais,20,100,4.3,6.3,NA
2023,1101435,municipal,EM,NA,4.3,25,7.366666666666666,18.46666666666667
2023,1101450,estadual,EF anos iniciais,NA,0,4,54.166666666666664,NA
2023,1101450,estadual,EF anos finais,1,73.33333333333333,4,0,NA
2023,1101450,estadual,EM,NA,4,61.1,17.766666666666666,NA
2023,1101450,municipal,EF anos iniciais,14.5,100,4,23.333333333333332,NA
2023,1101450,municipal,EF anos finais,25.5,100,4,0,NA
2023,1101450,municipal,EM,NA,4,0,47.56666666666666,22.6
2023,1101468,estadual,EF anos iniciais,NA,NA,4,42.9,NA
2023,1101468,estadual,EF anos finais,NA,100,4,0,NA
2023,1101468,estadual,EM,NA,4,100,57.1,NA
2023,1101468,municipal,EF anos iniciais,15,100,NA,0,NA
2023,1101468,municipal,EF anos finais,21,NA,NA,0,NA
2023,1101468,municipal,EM,NA,NA,0,NA,22.5
2023,1101476,estadual,EF anos iniciais,NA,NA,4.366666666666667,57.766666666666666,NA
2023,1101476,estadual,EF anos finais,NA,100,4.266666666666667,0,NA
2023,1101476,estadual,EM,NA,4.133333333333333,100,0,NA
2023,1101476,municipal,EF anos iniciais,18,100,NA,0,NA
2023,1101476,municipal,EF anos finais,19.5,NA,NA,0,NA
2023,1101476,municipal,EM,NA,NA,0,NA,17.766666666666666
2023,1101484,estadual,EF anos iniciais,NA,NA,4,50,NA
2023,1101484,estadual,EF anos finais,NA,100,4,37.5,NA
2023,1101484,estadual,EM,NA,4,50,8.3,NA
2023,1101484,municipal,EF anos iniciais,13,88.9,NA,0,NA
2023,1101484,municipal,EF anos finais,15.3,NA,NA,5.6,NA
2023,1101484,municipal,EM,NA,NA,0,NA,20.4
2023,1101492,estadual,EF anos iniciais,2,83.3,4.3,19.466666666666665,0
2023,1101492,estadual,EF anos finais,2,90.8,4.3,24.23333333333333,53.7
2023,1101492,estadual,EM,NA,4.3,80.56666666666666,15.266666666666667,NA
2023,1101492,municipal,EF anos iniciais,18.033333333333335,100,4.866666666666667,23.4,NA
2023,1101492,municipal,EF anos finais,20.666666666666668,100,4.8,3.6,NA
2023,1101492,municipal,EM,NA,4.8,36.93333333333333,12.866666666666667,20.266666666666666
2023,1101500,estadual,EF anos iniciais,1,0,4.1,33.36666666666667,0
2023,1101500,estadual,EF anos finais,NA,100,4.1,4.466666666666667,66.7
2023,1101500,estadual,EM,NA,4.1,38.9,38,NA
2023,1101500,municipal,EF anos iniciais,20.5,100,NA,5.1,NA
2023,1101500,municipal,EF anos finais,20.166666666666668,NA,NA,0,NA
2023,1101500,municipal,EM,NA,NA,41.666666666666664,NA,18.766666666666666
2023,1101559,estadual,EF anos iniciais,NA,NA,4.3,90,NA
2023,1101559,estadual,EF anos finais,NA,100,4.3,10,NA
2023,1101559,estadual,EM,NA,4.3,0,0,NA
2023,1101559,municipal,EF anos iniciais,16.433333333333334,100,4.3,57.03333333333333,NA
